AnnotationSetName	AnnotationSetVersion	AnnotationSetType	AnnotationSetFields	CreationDate	Build	AnnotationSetSize	Info
hg19_UCSC_laminB1Lads	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 17:54:00	hg19	1302	         Number of Instances: AutoScaling ExecutionTime (msec): 313710; Keywords=""
hg19_UCSC_hiSeqDepthTopPt5Pct	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 17:41:44	hg19	1224	         Number of Instances: AutoScaling ExecutionTime (msec): 297817
hg19_UCSC_crisprRanges	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 16:55:50	hg19	189126	  Number of Instances: AutoScaling ExecutionTime (msec): 366013
hg19_UCSC_hiSeqDepthTop5Pct	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 17:40:45	hg19	16119	  Number of Instances: AutoScaling ExecutionTime (msec): 299294
hg19_UCSC_hiSeqDepthTop1Pct	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 17:40:25	hg19	2060	  Number of Instances: AutoScaling ExecutionTime (msec): 309624
hg19_UCSC_hiSeqDepthTop10Pct	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 17:40:09	hg19	30671	  Number of Instances: AutoScaling ExecutionTime (msec): 321241
hg19_UCSC_phastBiasTracts3	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 20:08:28	hg19	9834	  Number of Instances: AutoScaling ExecutionTime (msec): 306394
hg19_UCSC_eioJcviNASNeg	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 17:00:22	hg19	338238	  Number of Instances: AutoScaling ExecutionTime (msec): 425233
hg19_UCSC_eioJcviNASPos	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 17:00:13	hg19	130504	  Number of Instances: AutoScaling ExecutionTime (msec): 388652
hg19_UCSC_hiSeqDepthTopPt1Pct	1.0	generic	bin,chrom,chromStart,chromEnd	2018/03/08 17:41:32	hg19	522	  Number of Instances: AutoScaling ExecutionTime (msec): 316260
hg19_UCSC_wgEncodeCshlShortRnaSeqK562ChromatinShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 09:04:32	hg19	2090890	  Number of Instances: AutoScaling ExecutionTime (msec): 436967
hg19_UCSC_wgEncodeCshlShortRnaSeqGm12878CytosolShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 08:41:18	hg19	34050	  Number of Instances: AutoScaling ExecutionTime (msec): 333113
hg19_UCSC_wgEncodeCshlShortRnaSeqK562NucleolusShortTransfrags	1.0	generic	bin,chrom,chromStart,chromEnd,name,score,strand,length,numUnique,numReads,minSeqCount,maxSeqCount,aveSeqCount,firstSeqCount,medSeqCount,thirdSeqCount,minReadCount,maxReadCount,aveReadCount,firstReadCount,medReadCount,thirdReadCount,numRegions,regStart,regLength,seqCount,regCount,sumCount	2018/03/09 09:05:14	hg19	346845	  Number of Instances: AutoScaling ExecutionTime (msec): 358359
